,date,home_team,away_team,home_score,away_score,country,neutral,impt,home_ranking,home_total_points,home_prev_points,home_rank_change,home_cur_year_avg_weighted,home_last_year_avg_weighted,home_2_year_avg_weighted,home_3_year_avg_weighted,away_ranking,away_total_points,away_prev_points,away_rank_change,away_cur_year_avg_weighted,away_last_year_avg_weighted,away_2_year_avg_weighted,away_3_year_avg_weighted,diff_in_ranking,home_mean_weighted_over_years,away_mean_weighted_over_years,diff_in_mean_weighted_over_years,Result
372,2017-06,Argentina,Brazil,1,0,0,1,0,2.0,1626.23,1603.0,0.0,877.12,370.55,275.96,102.6,1.0,1715.02,1672.0,0.0,1038.91,277.78,237.98,160.36,1.0,406.5575,428.75750000000005,-22.200000000000045,2
373,2017-06,Sweden,France,2,1,2,0,1,34.0,792.81,768.0,0.0,439.7,178.38,111.66,63.08,6.0,1332.16,1294.0,0.0,855.3,175.63,211.4,89.84,28.0,198.20499999999998,333.04249999999996,-134.83749999999998,2
374,2017-06,Iceland,Croatia,1,0,2,0,1,22.0,876.96,872.0,-1.0,506.6,169.99,139.64,60.73,18.0,1033.11,1016.0,0.0,637.83,178.39,160.84,56.05,4.0,219.24,258.27750000000003,-39.03750000000002,2
375,2017-06,Australia,Brazil,0,4,2,0,0,48.0,681.26,661.0,2.0,393.55,157.25,84.41,46.05,1.0,1715.02,1672.0,0.0,1038.91,277.78,237.98,160.36,47.0,170.31499999999997,428.75750000000005,-258.4425000000001,0
376,2017-06,France,England,3,2,2,0,0,6.0,1332.16,1294.0,0.0,855.3,175.63,211.4,89.84,13.0,1119.17,1103.0,1.0,591.57,272.26,156.1,99.25,-7.0,333.04249999999996,279.795,53.247499999999945,2
377,2017-06,Portugal,Mexico,2,2,0,1,1,8.0,1266.76,1259.0,0.0,671.59,282.42,185.29,127.46,17.0,1049.98,1076.0,-1.0,583.06,246.45,134.85,85.61,-9.0,316.69,262.4925,54.19749999999999,1
378,2017-06,Australia,Germany,2,3,0,1,1,48.0,681.26,661.0,2.0,393.55,157.25,84.41,46.05,3.0,1511.44,1464.0,0.0,857.8,206.0,345.94,101.7,45.0,170.31499999999997,377.86,-207.54500000000004,0
379,2017-06,Russia,Portugal,0,1,2,0,1,63.0,560.85,561.0,-2.0,168.88,209.83,110.22,71.92,8.0,1266.76,1259.0,0.0,671.59,282.42,185.29,127.46,55.0,140.2125,316.69,-176.4775,0
380,2017-06,Russia,Mexico,1,2,2,0,1,63.0,560.85,561.0,-2.0,168.88,209.83,110.22,71.92,17.0,1049.98,1076.0,-1.0,583.06,246.45,134.85,85.61,46.0,140.2125,262.4925,-122.28,0
381,2017-06,Germany,Mexico,4,1,0,1,1,3.0,1511.44,1464.0,0.0,857.8,206.0,345.94,101.7,17.0,1049.98,1076.0,-1.0,583.06,246.45,134.85,85.61,-14.0,377.86,262.4925,115.3675,2
382,2017-07,Portugal,Mexico,2,1,0,1,1,4.0,1332.14,1267.0,4.0,741.75,289.76,180.28,120.35,16.0,1002.72,1050.0,1.0,504.72,328.19,72.32,97.48,-12.0,333.03499999999997,250.6775,82.35749999999996,2
383,2017-07,Costa Rica,Panama,1,0,0,1,1,26.0,838.6,913.0,-7.0,440.85,210.03,63.08,124.64,52.0,652.66,626.0,7.0,353.2,148.32,62.79,88.35,-26.0,209.65,163.165,46.485000000000014,2
384,2017-08,Japan,Australia,2,0,2,0,1,44.0,696.23,684.0,2.0,399.16,160.07,88.37,48.63,45.0,690.52,689.0,0.0,417.48,147.67,109.32,16.05,-1.0,174.0575,172.63,1.427500000000009,2
385,2017-08,South Korea,Iran,0,0,2,0,1,49.0,673.85,662.0,2.0,364.86,168.53,101.86,38.59,24.0,893.03,893.0,-1.0,551.38,159.38,131.15,51.11,25.0,168.46,223.255,-54.79499999999999,1
386,2017-08,Uruguay,Argentina,0,0,2,0,1,17.0,995.38,995.0,0.0,408.25,319.74,102.2,165.19,3.0,1399.02,1413.0,0.0,590.38,422.95,179.91,205.78,14.0,248.84500000000003,349.755,-100.90999999999997,1
387,2017-09,Denmark,Poland,4,0,2,0,1,26.0,848.23,683.0,20.0,523.27,115.41,127.51,82.04,6.0,1249.9,1319.0,-1.0,754.32,327.9,137.57,30.11,20.0,212.05749999999998,312.47499999999997,-100.41749999999999,2
388,2017-09,Mexico,Panama,1,0,2,0,1,14.0,1085.38,1046.0,0.0,550.4,319.3,109.82,105.85,60.0,618.19,592.0,1.0,368.75,139.17,76.25,34.02,-46.0,271.3425,154.54749999999999,116.79499999999999,2
389,2017-09,Colombia,Brazil,1,1,2,0,1,10.0,1190.83,1208.0,-2.0,525.7,353.93,136.59,174.6,2.0,1589.68,1604.0,-1.0,924.44,345.13,163.38,156.74,8.0,297.70500000000004,397.42250000000007,-99.71750000000003,1
390,2017-09,Costa Rica,Mexico,1,1,2,0,1,21.0,935.88,918.0,0.0,476.47,278.97,56.49,123.94,14.0,1085.38,1046.0,0.0,550.4,319.3,109.82,105.85,7.0,233.96750000000003,271.3425,-37.37499999999994,1
391,2017-09,Saudi Arabia,Japan,1,0,2,0,1,53.0,641.03,601.0,6.0,340.44,192.45,57.22,50.92,40.0,736.53,696.0,4.0,446.97,147.32,96.24,46.0,13.0,160.2575,184.1325,-23.875,2
392,2017-10,Argentina,Peru,0,0,2,0,1,4.0,1444.69,1325.0,0.0,616.38,467.12,171.35,189.85,10.0,1159.94,1103.0,2.0,705.03,316.58,96.55,41.78,-6.0,361.17499999999995,289.98499999999996,71.19,1
393,2017-10,Russia,South Korea,4,2,2,0,0,65.0,562.64,558.0,-1.0,256.25,89.02,146.18,71.19,62.0,588.45,659.0,-11.0,259.89,175.04,113.02,40.5,3.0,140.66,147.11249999999998,-6.452499999999986,2
394,2017-10,South Korea,Morocco,1,3,0,1,0,62.0,588.45,659.0,-11.0,259.89,175.04,113.02,40.5,48.0,679.76,635.0,8.0,404.44,182.32,69.5,23.49,14.0,147.11249999999998,169.9375,-22.825000000000017,0
395,2017-10,Panama,Costa Rica,2,1,2,0,1,49.0,669.56,618.0,11.0,411.66,147.87,71.76,38.27,22.0,913.7,936.0,-1.0,441.96,302.67,51.58,117.49,27.0,167.39,228.425,-61.035000000000025,2
396,2017-10,Peru,Colombia,1,1,2,0,1,10.0,1159.94,1103.0,2.0,705.03,316.58,96.55,41.78,13.0,1094.89,1191.0,-3.0,413.2,373.34,150.28,158.06,-3.0,289.98499999999996,273.71999999999997,16.264999999999986,1
